,m_n,m,avg_error,std_error,task,target,ood,summary,config,name
21,10,300,0.5747,0.0364,0,P,C,"{'_wandb': {'runtime': 5140}, 'avg_err': 0.5747, '_timestamp': 1663538120.021294, 'train_loss': 0.0023, 'm': 300, 'n': 30, '_step': 1020, 'epoch': 100, 'run_num': 9, 'std_err': 0.0364, '_runtime': 5141.874821901321, 'train_acc': 1, 'final_test_err': 0.5778781038374718}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 10, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'C', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",231xma14
22,0,0,0.5801,0.0194,0,P,P,"{'_timestamp': 1663544217.0339851, 'm': 0, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 905}, 'std_err': 0.0194, '_runtime': 906.5099210739136, 'train_acc': 1, 'train_loss': 0.0027, 'n': 30, 'avg_err': 0.5801, 'run_num': 9, 'final_test_err': 0.5485327313769752}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 0, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",utpzwezy
23,1,30,0.514,0.0363,0,P,P,"{'std_err': 0.0363, '_runtime': 1392.7477223873138, '_timestamp': 1663545172.0106034, 'train_loss': 0.0244, 'n': 30, '_step': 1020, '_wandb': {'runtime': 1392}, 'run_num': 9, 'train_acc': 1, 'final_test_err': 0.4492099322799097, 'm': 30, 'epoch': 100, 'avg_err': 0.514}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 1, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3jy6eawn
24,2,60,0.467,0.0192,0,P,P,"{'train_loss': 0.0029, 'm': 60, 'n': 30, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 1893}, 'run_num': 9, '_runtime': 1894.5675899982452, 'avg_err': 0.467, 'std_err': 0.0192, 'train_acc': 1, '_timestamp': 1663546116.831816, 'final_test_err': 0.4785553047404063}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 2, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1avr9esc
25,3,90,0.4181,0.0285,0,P,P,"{'std_err': 0.0285, '_runtime': 2437.2891716957092, '_timestamp': 1663546703.8301556, 'm': 90, '_step': 1020, 'epoch': 100, 'run_num': 9, 'train_loss': 0.0026, 'final_test_err': 0.4085778781038375, 'n': 30, '_wandb': {'runtime': 2436}, 'avg_err': 0.4181, 'train_acc': 1}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 3, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",8qp0zuih
26,4,120,0.3898,0.0278,0,P,P,"{'m': 120, 'run_num': 9, '_runtime': 2805.2269146442413, 'final_test_err': 0.39503386004514673, 'avg_err': 0.3898, 'std_err': 0.0278, 'train_acc': 1, '_timestamp': 1663547548.3010857, 'n': 30, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 2804}, 'train_loss': 0.0065}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 4, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3nc2rovc
27,5,150,0.365,0.0243,0,P,P,"{'epoch': 100, '_wandb': {'runtime': 2997}, 'avg_err': 0.365, '_timestamp': 1663548174.49307, 'train_loss': 0.0112, 'm': 150, 'n': 30, 'std_err': 0.0243, '_runtime': 2998.5838482379913, 'train_acc': 1, 'final_test_err': 0.381489841986456, '_step': 1020, 'run_num': 9}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 5, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2ol9gzzp
28,6,180,0.3352,0.0241,0,P,P,"{'n': 30, '_wandb': {'runtime': 3260}, 'avg_err': 0.3352, 'run_num': 9, '_runtime': 3261.057038784027, '_timestamp': 1663548437.4182017, 'final_test_err': 0.35440180586907444, 'm': 180, '_step': 1020, 'epoch': 100, 'std_err': 0.0241, 'train_acc': 1, 'train_loss': 0.0124}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 6, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",3ppo5z4m
29,7,210,0.3016,0.0181,0,P,P,"{'_step': 1020, 'epoch': 100, '_wandb': {'runtime': 3112}, 'run_num': 9, 'train_acc': 1, 'final_test_err': 0.3002257336343115, 'train_loss': 0.0014, 'm': 210, 'n': 30, 'avg_err': 0.3016, 'std_err': 0.0181, '_runtime': 3114.5945460796356, '_timestamp': 1663548779.6909602}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 7, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1clm52ec
30,8,240,0.2632,0.0108,0,P,P,"{'train_loss': 0.0011, '_step': 1020, 'run_num': 9, 'train_acc': 1, '_timestamp': 1663549036.9802012, 'avg_err': 0.2632, 'std_err': 0.0108, '_runtime': 3096.4681062698364, 'final_test_err': 0.2528216704288939, 'm': 240, 'n': 30, 'epoch': 100, '_wandb': {'runtime': 3095}}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 8, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2cnk06hv
31,9,270,0.2314,0.0147,0,P,P,"{'n': 30, 'epoch': 100, 'avg_err': 0.2314, 'run_num': 9, 'std_err': 0.0147, '_timestamp': 1663549200.0903594, 'final_test_err': 0.24153498871331824, 'm': 270, '_step': 1020, '_wandb': {'runtime': 3077}, '_runtime': 3078.570572376251, 'train_acc': 1, 'train_loss': 0.0016}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 9, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",7xjewjle
32,10,300,0.2196,0.0098,0,P,P,"{'_wandb': {'runtime': 2930}, 'avg_err': 0.2196, 'run_num': 9, 'std_err': 0.0098, '_runtime': 2931.1217608451843, 'final_test_err': 0.2257336343115124, 'n': 30, '_step': 1020, 'train_acc': 1, '_timestamp': 1663549326.007809, 'train_loss': 0.0014, 'm': 300, 'epoch': 100}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 10, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'P', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1huusoyr
33,0,0,0.5801,0.0194,0,P,S,"{'m': 0, 'n': 30, 'epoch': 100, 'avg_err': 0.5801, 'train_acc': 1, '_timestamp': 1663534362.1325734, 'train_loss': 0.0027, 'final_test_err': 0.5485327313769752, '_step': 1020, '_wandb': {'runtime': 918}, 'run_num': 9, 'std_err': 0.0194, '_runtime': 919.0305123329164}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 0, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",27tm47sw
34,1,30,0.5648,0.0158,0,P,S,"{'_timestamp': 1663535346.618611, 'n': 30, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 1422}, 'avg_err': 0.5648, '_runtime': 1423.641615152359, 'train_acc': 1, 'final_test_err': 0.5575620767494356, 'm': 30, 'run_num': 9, 'std_err': 0.0158, 'train_loss': 0.0263}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 1, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",nykk378c
35,2,60,0.5795,0.0311,0,P,S,"{'std_err': 0.0311, '_runtime': 1924.4604358673096, '_timestamp': 1663536290.75798, 'final_test_err': 0.5981941309255079, '_step': 1020, 'avg_err': 0.5795, 'run_num': 9, '_wandb': {'runtime': 1923}, 'train_acc': 1, 'train_loss': 0.0032, 'm': 60, 'n': 30, 'epoch': 100}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 2, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2nisbvh1
36,3,90,0.6034,0.0199,0,P,S,"{'final_test_err': 0.5914221218961626, '_step': 1020, 'std_err': 0.0199, '_runtime': 2411.491508960724, 'train_loss': 0.0054, 'avg_err': 0.6034, 'run_num': 9, 'train_acc': 1, '_timestamp': 1663536778.934187, 'm': 90, 'n': 30, 'epoch': 100, '_wandb': {'runtime': 2410}}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 3, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",bvrv36wv
37,4,120,0.6151,0.0222,0,P,S,"{'std_err': 0.0222, 'train_loss': 0.0067, 'm': 120, 'n': 30, '_step': 1020, '_wandb': {'runtime': 2773}, 'avg_err': 0.6151, 'run_num': 9, 'final_test_err': 0.5869074492099322, 'epoch': 100, '_runtime': 2773.9188737869263, 'train_acc': 1, '_timestamp': 1663537609.9228587}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 4, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2ozfk5mc
38,5,150,0.6093,0.0252,0,P,S,"{'run_num': 9, '_timestamp': 1663538296.4283314, 'train_loss': 0.013, '_step': 1020, 'avg_err': 0.6093, 'epoch': 100, '_wandb': {'runtime': 2996}, 'std_err': 0.0252, '_runtime': 2997.600568294525, 'train_acc': 0.9944, 'final_test_err': 0.5936794582392777, 'm': 150, 'n': 30}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 5, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1io3mli7
39,6,180,0.6219,0.0284,0,P,S,"{'avg_err': 0.6219, 'run_num': 9, 'std_err': 0.0284, '_runtime': 3226.7324166297913, 'm': 180, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 3225}, 'train_loss': 0.0317, 'n': 30, 'train_acc': 0.9952, '_timestamp': 1663538577.2702456, 'final_test_err': 0.5846501128668171}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 6, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",8k23k7ys
40,7,210,0.609,0.0305,0,P,S,"{'n': 30, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 3099}, 'avg_err': 0.609, 'std_err': 0.0305, '_runtime': 3100.7699961662292, 'm': 210, 'train_loss': 0.0018, '_timestamp': 1663538888.740822, 'train_acc': 1, 'final_test_err': 0.5643340857787811, 'run_num': 9}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 7, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",p00pwv33
41,8,240,0.6226,0.0298,0,P,S,"{'epoch': 100, 'run_num': 9, 'train_acc': 1, '_timestamp': 1663539123.9332085, 'final_test_err': 0.5914221218961626, 'm': 240, '_step': 1020, 'avg_err': 0.6226, 'std_err': 0.0298, '_runtime': 3095.2416524887085, 'train_loss': 0.001, 'n': 30, '_wandb': {'runtime': 3094}}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 8, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",1ko9h7lf
42,9,270,0.6163,0.0214,0,P,S,"{'_timestamp': 1663539327.710648, 'final_test_err': 0.5981941309255079, 'm': 270, '_step': 1020, '_wandb': {'runtime': 3030}, 'run_num': 9, '_runtime': 3031.805806159973, 'train_acc': 1, 'n': 30, 'epoch': 100, 'avg_err': 0.6163, 'std_err': 0.0214, 'train_loss': 0.0012}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 9, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2z0f7m8y
43,10,300,0.6151,0.0246,0,P,S,"{'_runtime': 2898.321065425873, 'm': 300, 'n': 30, '_wandb': {'runtime': 2897}, 'avg_err': 0.6151, 'std_err': 0.0246, 'train_loss': 0.0016, 'final_test_err': 0.5756207674943566, '_step': 1020, 'epoch': 100, 'run_num': 9, 'train_acc': 1, '_timestamp': 1663539453.9688623}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn16_4', 'tag': '14_domainbed/3_pacs_wrn16-4', 'loss': {'alpha': 0.5, 'tune_alpha': False, 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 10, 'm_n': 10, 'ood': [0], 'beta': 'unbiased', 'target': 0, 'augment': False, 'dataset': 'pacs', 'ood_env': 'S', 'task_map': [[0, 1, 4]], 'target_env': 'P', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'is_multihead': False, 'eval_at_epoch': False}",2i3wsnzi
