,m_n,avg_error,std_error,angle,summary,config,name
17,20,0.2772,0.0145,10,"{'final_test_err': 0.2835, '_wandb': {'runtime': 1463}, 'run_num': 9, 'std_err': 0.0145, '_runtime': 1464.093346118927, 'train_acc': 0.9976, '_timestamp': 1663948648.768083, 'm': 2000, 'n': 100, '_step': 1020, 'epoch': 100, 'avg_err': 0.2772, 'train_loss': 0.0406}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 20, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 10, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",hf9fxsbl
18,30,0.272,0.0212,10,"{'epoch': 100, '_wandb': {'runtime': 1624}, 'std_err': 0.0212, 'm': 3000, 'n': 100, '_step': 1020, 'avg_err': 0.272, 'run_num': 9, '_runtime': 1625.9292759895325, 'train_acc': 0.999, '_timestamp': 1663948989.032265, 'train_loss': 0.0296, 'final_test_err': 0.273}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 30, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 10, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2x13dood
19,40,0.2532,0.0162,10,"{'train_acc': 0.9866, 'm': 4000, 'epoch': 100, 'avg_err': 0.2532, 'run_num': 9, '_runtime': 1874.4834713935852, '_timestamp': 1663949403.2905114, 'train_loss': 0.0734, 'final_test_err': 0.22750000000000004, 'n': 100, '_step': 1020, '_wandb': {'runtime': 1874}, 'std_err': 0.0162}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 40, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 10, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2ocdz1gd
20,0,0.3798,0.0397,30,"{'m': 0, '_step': 1020, 'run_num': 9, '_runtime': 930.9828853607178, 'n': 100, 'epoch': 100, '_wandb': {'runtime': 930}, 'avg_err': 0.3798, 'std_err': 0.0397, 'train_acc': 0.8, '_timestamp': 1663948626.8537705, 'train_loss': 0.4804, 'final_test_err': 0.35}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 30, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",3o08vgie
21,1,0.3282,0.025,30,"{'_timestamp': 1663948683.3190444, '_step': 1020, '_wandb': {'runtime': 940}, 'run_num': 9, '_runtime': 941.0600283145905, 'train_acc': 0.75, 'train_loss': 0.5441, 'final_test_err': 0.35550000000000004, 'm': 100, 'n': 100, 'epoch': 100, 'avg_err': 0.3282, 'std_err': 0.025}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 30, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",35pn0v64
22,2,0.3047,0.0135,30,"{'avg_err': 0.3047, 'train_acc': 0.8267, '_timestamp': 1663948882.632017, 'n': 100, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 1029}, 'train_loss': 0.4141, 'final_test_err': 0.3275, 'm': 200, 'run_num': 9, 'std_err': 0.0135, '_runtime': 1030.439091682434}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 30, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",3ugziw5l
23,3,0.2963,0.0158,30,"{'train_acc': 0.8075, '_timestamp': 1663949056.3707843, 'train_loss': 0.4213, 'epoch': 100, 'avg_err': 0.2963, 'run_num': 9, 'std_err': 0.0158, '_runtime': 1118.4985291957855, 'm': 300, 'n': 100, '_step': 1020, '_wandb': {'runtime': 1117}, 'final_test_err': 0.31899999999999995}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 30, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2ev2kmcv
24,4,0.2921,0.011,30,"{'m': 400, 'n': 100, '_step': 1020, 'avg_err': 0.2921, 'run_num': 9, '_runtime': 1166.3066384792328, 'epoch': 100, '_wandb': {'runtime': 1165}, 'std_err': 0.011, 'train_acc': 0.832, '_timestamp': 1663949193.4539285, 'train_loss': 0.4025, 'final_test_err': 0.3015}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 4, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 30, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",i55abata
25,5,0.2924,0.0176,30,"{'run_num': 9, 'm': 500, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 1267}, 'avg_err': 0.2924, 'train_loss': 0.3375, 'final_test_err': 0.31999999999999995, 'n': 100, 'std_err': 0.0176, '_runtime': 1268.3652086257937, 'train_acc': 0.8817, '_timestamp': 1663949460.916633}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 5, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 30, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",329dzzgi
26,10,0.2903,0.0212,30,"{'_runtime': 1360.489849805832, '_timestamp': 1663949781.60067, 'm': 1000, 'epoch': 100, 'avg_err': 0.2903, 'run_num': 9, 'train_acc': 0.9745, 'train_loss': 0.1479, 'final_test_err': 0.29000000000000004, 'n': 100, '_step': 1020, '_wandb': {'runtime': 1359}, 'std_err': 0.0212}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 10, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 30, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",5yw8m413
27,20,0.2988,0.0141,30,"{'n': 100, 'run_num': 9, '_runtime': 1533.3330624103546, 'train_acc': 0.9986, 'train_loss': 0.0413, 'std_err': 0.0141, '_timestamp': 1663950165.8129344, 'final_test_err': 0.31000000000000005, 'm': 2000, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 1532}, 'avg_err': 0.2988}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 20, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 30, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",wzspth0f
28,30,0.2985,0.0166,30,"{'final_test_err': 0.2905, '_step': 1020, 'run_num': 9, '_runtime': 1734.270621061325, 'train_acc': 0.9994, 'train_loss': 0.0351, 'std_err': 0.0166, '_timestamp': 1663950387.5827792, 'm': 3000, 'n': 100, 'epoch': 100, '_wandb': {'runtime': 1733}, 'avg_err': 0.2985}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 30, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 30, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",ybvb6fi8
29,40,0.2877,0.0095,30,"{'m': 4000, 'n': 100, '_step': 1020, 'epoch': 100, 'avg_err': 0.2877, 'run_num': 9, 'std_err': 0.0095, '_timestamp': 1663950626.1680803, 'train_loss': 0.0723, 'final_test_err': 0.28500000000000003, '_wandb': {'runtime': 1936}, '_runtime': 1937.185137271881, 'train_acc': 0.989}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 40, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 30, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",1vvjw1ns
30,0,0.3798,0.0397,45,"{'epoch': 100, '_wandb': {'runtime': 978}, 'avg_err': 0.3798, 'n': 100, '_step': 1020, 'std_err': 0.0397, '_runtime': 978.9669153690338, 'train_acc': 0.8, '_timestamp': 1663949866.2617624, 'train_loss': 0.4804, 'final_test_err': 0.35, 'm': 0, 'run_num': 9}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 0, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 45, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2xovpk52
31,1,0.3262,0.0261,45,"{'std_err': 0.0261, 'train_acc': 0.765, 'train_loss': 0.5384, 'final_test_err': 0.35850000000000004, 'm': 100, 'epoch': 100, 'run_num': 9, 'avg_err': 0.3262, '_runtime': 968.4813895225524, '_timestamp': 1663949962.2308097, 'n': 100, '_step': 1020, '_wandb': {'runtime': 967}}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 1, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 45, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",3teoljsx
32,2,0.3073,0.016,45,"{'final_test_err': 0.33399999999999996, 'm': 200, 'n': 100, 'epoch': 100, 'avg_err': 0.3073, 'run_num': 9, '_timestamp': 1663950062.0888565, '_step': 1020, '_wandb': {'runtime': 1000}, 'std_err': 0.016, '_runtime': 1000.9971644878387, 'train_acc': 0.8, 'train_loss': 0.4292}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 2, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 45, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",32enhecv
33,3,0.3,0.0204,45,"{'run_num': 9, '_runtime': 1115.4684267044067, 'train_acc': 0.845, '_timestamp': 1663950314.5552616, 'm': 300, 'n': 100, '_wandb': {'runtime': 1114}, 'avg_err': 0.3, 'final_test_err': 0.32499999999999996, '_step': 1020, 'epoch': 100, 'std_err': 0.0204, 'train_loss': 0.3892}","{'hp': {'bs': 128, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '06_rotated_cifar10/wrn-10-2', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 50, 'm_n': 3, 'ood': [], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'rotated_cifar10', 'ood_env': 45, 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:2', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",394mdxjp
