,target,ood,m_n,avg_error,std_error,device,summary,config,name
0,1,4,40.0,0.4092,0.0154,cuda:3,"{'m': 2000, 'run_num': 9, 'train_loss': 0.007, '_runtime': 2099.9444613456726, 'train_acc': 0.998, 'n': 50, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 2099}, 'avg_err': 0.4092, 'std_err': 0.0154, '_timestamp': 1667998626.9352045, 'final_test_err': 0.401}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n50', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 25, 'm_n': 40, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2d4u6wkh
1,1,4,4.0,0.3695,0.0219,cuda:3,"{'n': 50, '_step': 1020, 'epoch': 100, '_wandb': {'runtime': 1107}, 'run_num': 9, '_runtime': 1108.6368746757507, '_timestamp': 1667996800.2547195, 'm': 200, 'final_test_err': 0.37649999999999995, 'train_loss': 0.0051, 'std_err': 0.0219, 'train_acc': 1, 'avg_err': 0.3695}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n50', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 25, 'm_n': 4, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",c8soi6wn
2,1,4,2.0,0.371,0.0347,cuda:3,"{'m': 100, 'epoch': 100, '_wandb': {'runtime': 1000}, 'avg_err': 0.371, 'run_num': 9, 'final_test_err': 0.3435, 'n': 50, '_step': 1020, 'std_err': 0.0347, '_runtime': 1002.0662195682526, 'train_acc': 0.9933, '_timestamp': 1667996693.6908426, 'train_loss': 0.0131}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n50', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 25, 'm_n': 2, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",38cjq2bo
3,1,4,20.0,0.3855,0.0124,cuda:3,"{'m': 1000, '_step': 1020, '_wandb': {'runtime': 1758}, 'avg_err': 0.3855, 'run_num': 9, '_runtime': 1760.1087250709534, 'train_acc': 0.999, 'n': 50, 'epoch': 100, 'std_err': 0.0124, '_timestamp': 1667997451.89283, 'train_loss': 0.0045, 'final_test_err': 0.372}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n50', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 25, 'm_n': 20, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",37kkh9z2
4,1,4,1.0,0.3686,0.0206,cuda:3,"{'_timestamp': 1667996621.8961008, '_step': 1020, '_wandb': {'runtime': 928}, 'run_num': 9, '_runtime': 930.229787826538, 'train_acc': 1, 'train_loss': 0.015, 'final_test_err': 0.369, 'm': 50, 'n': 50, 'epoch': 100, 'avg_err': 0.3686, 'std_err': 0.0206}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n50', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 25, 'm_n': 1, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",3691xx7m
5,1,4,0.0,0.3672,0.0252,cuda:3,"{'final_test_err': 0.37749999999999995, 'n': 50, '_step': 1020, 'epoch': 100, 'run_num': 9, '_runtime': 828.4076471328735, 'train_acc': 1, 'm': 0, '_wandb': {'runtime': 826}, 'avg_err': 0.3672, 'std_err': 0.0252, '_timestamp': 1667996520.0307822, 'train_loss': 0.0569}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n50', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 25, 'm_n': 0, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",2mfcqw90
6,1,4,6.0,0.3741,0.0207,cuda:3,"{'_wandb': {'runtime': 1227}, 'avg_err': 0.3741, 'run_num': 9, '_runtime': 1229.2177195549011, 'train_loss': 0.0025, 'final_test_err': 0.373, 'n': 50, '_step': 1020, 'epoch': 100, 'std_err': 0.0207, 'train_acc': 1, '_timestamp': 1667996920.8417106, 'm': 300}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n50', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 25, 'm_n': 6, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",1zykwoce
7,1,4,8.0,0.3846,0.0153,cuda:3,"{'avg_err': 0.3846, 'run_num': 9, 'train_acc': 0.9978, '_step': 1020, 'n': 50, 'epoch': 100, '_wandb': {'runtime': 1331}, 'std_err': 0.0153, '_runtime': 1332.5039882659912, '_timestamp': 1667997024.3290205, 'train_loss': 0.0167, 'm': 400, 'final_test_err': 0.393}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n50', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 25, 'm_n': 8, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",1gq42ijx
8,1,4,1.5,0.3611,0.0221,cuda:3,"{'_runtime': 959.5511703491212, 'train_acc': 1, '_timestamp': 1667996651.3075733, 'm': 74, '_step': 1020, 'run_num': 9, 'avg_err': 0.3611, 'std_err': 0.0221, 'train_loss': 0.0196, 'final_test_err': 0.355, 'n': 50, 'epoch': 100, '_wandb': {'runtime': 958}}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n50', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 25, 'm_n': 1.5, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",18fv3bgn
9,1,4,10.0,0.3804,0.0136,cuda:3,"{'train_acc': 1, '_timestamp': 1667997117.8653924, 'm': 500, 'n': 50, '_step': 1020, 'avg_err': 0.3804, 'run_num': 9, 'std_err': 0.0136, 'final_test_err': 0.38, 'epoch': 100, '_wandb': {'runtime': 1424}, '_runtime': 1425.889371395111, 'train_loss': 0.0022}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n50', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 25, 'm_n': 10, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",14ae7fmk
10,1,4,0.5,0.3542,0.0211,cuda:3,"{'std_err': 0.0211, 'train_acc': 1, '_timestamp': 1667996586.3047507, 'train_loss': 0.011, 'n': 50, 'epoch': 100, 'avg_err': 0.3542, 'run_num': 9, 'final_test_err': 0.354, 'm': 24, '_step': 1020, '_wandb': {'runtime': 893}, '_runtime': 894.678733587265}","{'hp': {'bs': 16, 'lr': 0.01, 'epochs': 100}, 'net': 'wrn10_2', 'ptw': False, 'tag': '04_cifar10/wrn-10-2/n50', 'loss': {'alpha': 0.5, 'm_n_list': [0, 1, 2, 3, 4, 5, 10, 20], 'tune_alpha': False, 'use_opt_alpha': False, 'tune_alpha_tag': '17_tune/cifar10', 'group_task_loss': False}, 'reps': 10, 'seed': 10, 'task': {'n': 25, 'm_n': 0.5, 'ood': [4], 'beta': 'unbiased', 'target': 1, 'augment': False, 'dataset': 'split_cifar10', 'ood_env': 'None', 'task_map': [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]], 'target_env': 'None', 'custom_sampler': False}, 'deploy': True, 'device': 'cuda:3', 'ptw_path': 'pretrained_imagenet_1_wrn10_2.pt', 'random_reps': True, 'is_multihead': False, 'eval_at_epoch': False}",114q86w0
